,county,Latitude,Longitude,death_count
0,Abbeville,31.57204745,-85.2642197,2
1,Aberdeen,40.74571206,-96.55405146,5
2,Abilene,33.83718691428572,-99.20503665714287,14
3,Abingdon,37.36902255,-80.55280225,4
4,Abington,41.13359535,-73.0332326,2
5,Abita Springs,30.521279999999997,-89.931772,1
6,Acampo,38.1750363,-121.28998515,2
7,Accokeek,38.642536,-77.02945600000001,1
8,Accomac,37.7435424,-75.6601938,1
9,Ackley,42.545367999999996,-93.05333890000001,1
10,Acton,43.5002194,-70.9585968,1
11,Acworth,34.092782359999994,-84.6763987,5
12,Ada,37.88775663333333,-94.54066951666668,6
13,Adairsville,34.37720723333333,-84.94494046666667,3
14,Adamson,34.924278,-95.546456,1
15,Addis,30.3575079,-91.25446575000001,2
16,Addison,37.6496034,-90.82255701666668,6
17,Adel,34.631888133333334,-86.94696273333334,3
18,Adelanto,34.59405556666667,-117.41968511666666,6
19,Adelphi,39.0031924,-76.9719093,1
20,Adger,33.527183199999996,-87.22735920000001,1
21,Adolphus,36.6697475,-86.2666463,1
22,Adrian,40.08894822222223,-86.17669137777777,9
23,Affton,38.553156920000006,-90.31267785999998,5
24,Afton,37.00235848,-83.47993849999997,5
25,Agoura Hills,34.082133,-118.704531,1
26,Aguanga,33.473198249999996,-116.78414394999999,2
27,Ahwatukee,33.3141988,-111.9914896,1
28,Aiea,21.385068724999996,-157.9411616,4
29,Aiken,33.5328533,-81.70921021428572,7
30,Ailey,32.260842100000005,-82.50647049999999,1
31,Ajo,32.3717248,-112.86070990000002,1
32,Akron,41.068274148571426,-81.51911279142857,35
33,Alabaster,33.24001695,-86.80449200000001,2
34,Alameda,37.76623922,-122.2526218,5
35,Alamo,36.5071351,-100.10718113333333,3
36,Alamo Heights,29.476681199999998,-98.46167249999999,1
37,Alamogordo,32.89929712,-105.97820406000001,5
38,Alamosa,37.549245575,-105.86983635,4
39,Alanson,45.4137721,-84.7504172,1
40,Alaska Township,47.7893635,-95.0131707,1
41,Albany,38.73974268333333,-86.86417085555554,18
42,Albemarle,35.360259850000006,-80.18811260000001,2
43,Albert Lea,43.6463072,-93.371178,1
44,Albertville,34.28026475,-86.23309230000001,6
45,Albion,42.36113854999999,-83.27585284999999,4
46,Albrightsville,40.9941278,-75.53055440000001,1
47,Albuquerque,35.11838500779221,-106.61106803506489,154
48,Alda,40.8139157,-98.4373099,1
49,Aldie,38.92791795,-77.5663518,2
50,Aledo,32.718713,-97.6318734,1
51,Alex,35.000399,-97.8857623,1
52,Alexander,36.699495674999994,-88.90238507500001,4
53,Alexander City,32.908502999999996,-85.946246,2
54,Alexandria,36.96244432272727,-82.55524305000002,22
55,Alexandria Valley,32.9807609,-85.4030885,1
56,Algiers,29.921734999999998,-90.020169,1
57,Algonquin,42.166495899999994,-88.2882824,1
58,Alhambra,34.08602388,-118.14396809999998,5
59,Alice,27.7566739,-98.0319442,1
60,Alleghany,35.5146722,-80.14456870000001,1
61,Allen,33.545793275,-96.58415337500001,4
62,Allen Park,42.2665012,-83.21227785,2
63,Allendale,33.0046299,-81.3160569,1
64,Allenton,43.425498100000006,-88.3373682,1
65,Allentown,40.5980354235294,-75.48503777647059,17
66,Alliance,41.307722866666666,-88.35955216666666,3
67,Allison Park,40.566392799999996,-79.99856319999999,1
68,Alma,35.76102590000001,-92.7515185,4
69,Almond,44.2617055,-89.3675077,1
70,Aloha,45.483383116666666,-122.87340148333332,6
71,Alpharetta,34.07186782,-84.25887038,5
72,Alpine,32.537999311111115,-115.25045413333333,9
73,Altadena,34.18602145,-118.13366585,2
74,Altamont,35.4566065,-85.7310597,1
75,Altamonte Springs,28.671678033333336,-81.39440273333334,3
76,Altavista,37.129679333333335,-79.28085783333334,3
77,Alto,31.6503649,-95.07280064999999,2
78,Alton,37.10271995,-90.30697903333333,6
79,Altoona,41.16098925714285,-87.004701,7
80,Altus,34.648086449999994,-99.32336434999999,2
81,Alvarado,32.4883452,-97.17551540000001,1
82,Alvin,29.4264174,-95.265338125,4
83,Amarillo,35.2079903,-101.74139537727274,44
84,Amber,35.1603415,-97.8792104,1
85,Ambler,66.9746267,-160.425502,1
86,Ambridge,40.595551,-80.225865,1
87,Ambrose,31.536665999999997,-83.006547,1
88,American Canyon,38.16815525,-122.24973025,2
89,American Fork,40.386060400000005,-111.81831465,2
90,Americus,32.0268594,-84.27637084999999,2
91,Ames,42.05322445,-93.60623465,2
92,Amesbury,42.8583489,-70.92009499999999,1
93,Amherst,39.108237550000005,-78.33171941666666,6
94,Amite,30.7442339,-90.2767807,2
95,Amite City,30.7264408,-90.51540436,5
96,Amity,42.5146934,-108.86549804999999,2
97,Amory,34.003350299999994,-88.47938549999999,1
98,Amsterdam-Churchill,45.744628000000006,-111.31962390000001,1
99,Anacoco,31.252063,-93.4006431,1
100,Anadarko,35.082245799999995,-98.24368340000001,1
101,Anaheim,33.823255166666655,-117.24211987192983,57
102,Anahuac,29.773000099999997,-94.68269609999999,1
103,Anchor Point,59.790825899999994,-151.74314809999998,1
104,Anchorage,60.030613797435905,-146.5121824230769,39
105,Andalusia,31.308504133333333,-86.43957086666667,3
106,Anderson,36.54704622352942,-89.25831968235292,34
107,Andersonville,36.201989000000005,-84.0316223,1
108,Andover,41.984473083333334,-87.27936136666666,6
