,city,%_change,party,year,value
0,"Los Angeles, CA",25.000000000000007,blue,2000,0.12484905943790611
1,"Chicago, IL",14.285714285714283,blue,2000,0.16136501896845798
2,"Miami, FL",25.00000000000003,blue,2000,0.06267661093775805
3,"Dallas, TX",700.0,blue,2000,0.017442086603797247
4,"Philadelphia, PA",-54.545454545454554,blue,2000,0.19510866133464258
5,"Houston, TX",214.28571428571428,blue,2000,0.12852365973691574
6,"Atlanta, GA",100.0,blue,2000,0.09562514941429595
7,"Phoenix, AZ",159.99999999999997,red,2000,0.12249350723164919
8,"Seattle, WA",50.00000000000002,blue,2000,0.1097765635270112
9,"San Francisco, CA",-33.33333333333333,blue,2000,0.0832463640069361
10,"Detroit, MI",-40.0,blue,2000,0.28391297953612027
11,"San Diego, CA",-27.27272727272727,blue,2000,0.3426456103670856
12,"Minneapolis, MN",-50.0,blue,2000,0.20500506191665382
13,"Tampa, FL",-25.00000000000002,blue,2000,0.2852822868228112
14,"Denver, CO",266.66666666666663,blue,2000,0.10763235371148645
15,"Brooklyn, NY",-55.55555555555555,blue,2000,0.34231595762889144
16,"Baltimore, MD",-40.0,blue,2000,0.46072248657454673
17,"Riverside, CA",200.00000000000006,blue,2000,0.04796740518882609
18,"Las Vegas, NV",150.0,blue,2000,0.09647643924758025
19,"Portland, OR",50.000000000000014,blue,2000,0.19485618639163366
20,"San Antonio, TX",900.0,blue,2000,0.0998736598203273
21,"Kansas City, MO",-71.42857142857143,red,2000,0.4332699315000238
22,"Virginia Beach, VA",100.0,red,2000,0.06755008670053628
23,"Jacksonville, FL",300.0,red,2000,0.17296683966233414
24,"Oklahoma City, OK",37.50000000000001,red,2000,0.8368218343553019
25,"Tulsa, OK",75.00000000000001,red,2000,0.5951902674487467
26,"Colorado Springs, CO",200.00000000000006,red,2000,0.4808108393995634
27,"Bakersfield, CA",150.00000000000003,red,2000,0.34821245138083645
28,"Mesa, AZ",200.00000000000006,red,2000,0.20145003736898193
29,"Chattanooga, TN",100.0,red,2000,0.49118084787637956
30,"Spokane, WA",199.99999999999997,red,2000,0.24811248427587132
31,"Boise, ID",0.0,red,2000,0.25959326926571447
32,"Pensacola, FL",199.99999999999994,red,2000,0.29036004645760743
33,"Corpus Christi, TX",200.0,red,2000,0.29288151478319446
34,"Huntsville, AL",0.0,red,2000,0.3228764416433119
35,"Springfield, MO",700.0,red,2000,0.34816274519361334
36,"Canton, OH",-83.33333333333334,red,2000,2.2125199126792143
37,"St. Petersburg, FL",0.0,red,2000,0.7597196634441892
38,"Killeen, TX",0.0,red,2000,0.40405836218983465
39,"York, PA",-50.0,red,2000,0.8538069115669492
40,United States,87.63468128311129,,2000,0.27537332036760914
41,"Los Angeles, CA",25.000000000000007,blue,2001,0.12484905943790611
42,"Chicago, IL",14.285714285714283,blue,2001,0.13831287340153542
43,"Miami, FL",25.00000000000003,blue,2001,0.09401491640663708
44,"Dallas, TX",700.0,blue,2001,0.017442086603797247
45,"Philadelphia, PA",-54.545454545454554,blue,2001,0.08868575515211026
46,"Houston, TX",214.28571428571428,blue,2001,0.16524470537603453
47,"Atlanta, GA",100.0,blue,2001,0.1721252689457327
48,"Phoenix, AZ",159.99999999999997,red,2001,0.2694857159096282
49,"Seattle, WA",50.00000000000002,blue,2001,0.16466484529051684
50,"San Francisco, CA",-33.33333333333333,blue,2001,0.11099515200924813
51,"Detroit, MI",-40.0,blue,2001,0.14195648976806013
52,"San Diego, CA",-27.27272727272727,blue,2001,0.3426456103670856
53,"Minneapolis, MN",-50.0,blue,2001,0.13667004127776922
54,"Tampa, FL",-25.00000000000002,blue,2001,0.0713205717057028
55,"Denver, CO",266.66666666666663,blue,2001,0.3587745123716215
56,"Brooklyn, NY",-55.55555555555555,blue,2001,0.15214042561284066
57,"Baltimore, MD",-40.0,blue,2001,0.1842889946298187
58,"Riverside, CA",200.00000000000006,blue,2001,0.04796740518882609
59,"Las Vegas, NV",150.0,blue,2001,0.48238219623790124
60,"Portland, OR",50.000000000000014,blue,2001,0.24357023298954206
61,"San Antonio, TX",900.0,blue,2001,0.14981048973049094
62,"Kansas City, MO",-71.42857142857143,red,2001,0.618957045000034
63,"Virginia Beach, VA",100.0,red,2001,0.2702003468021451
64,"Jacksonville, FL",300.0,red,2001,
65,"Oklahoma City, OK",37.50000000000001,red,2001,0.41841091717765094
66,"Tulsa, OK",75.00000000000001,red,2001,0.7439878343109334
67,"Colorado Springs, CO",200.00000000000006,red,2001,0.16027027979985448
68,"Bakersfield, CA",150.00000000000003,red,2001,0.5223186770712547
69,"Mesa, AZ",200.00000000000006,red,2001,0.8058001494759277
70,"Chattanooga, TN",100.0,red,2001,0.24559042393818978
71,"Spokane, WA",199.99999999999997,red,2001,0.24811248427587132
72,"Boise, ID",0.0,red,2001,
73,"Pensacola, FL",199.99999999999994,red,2001,0.29036004645760743
74,"Corpus Christi, TX",200.0,red,2001,0.29288151478319446
75,"Huntsville, AL",0.0,red,2001,
76,"Springfield, MO",700.0,red,2001,
77,"Canton, OH",-83.33333333333334,red,2001,
78,"St. Petersburg, FL",0.0,red,2001,
79,"Killeen, TX",0.0,red,2001,
80,"York, PA",-50.0,red,2001,0.4269034557834746
81,United States,87.63468128311129,,2001,0.30248909043442995
82,"Los Angeles, CA",25.000000000000007,blue,2002,0.13265212565277526
83,"Chicago, IL",14.285714285714283,blue,2002,0.20746931010230313
84,"Miami, FL",25.00000000000003,blue,2002,0.06267661093775805
85,"Dallas, TX",700.0,blue,2002,0.034884173207594495
86,"Philadelphia, PA",-54.545454545454554,blue,2002,0.07094860412168821
87,"Houston, TX",214.28571428571428,blue,2002,0.3672104563911878
88,"Atlanta, GA",100.0,blue,2002,0.1912502988285919
89,"Phoenix, AZ",159.99999999999997,red,2002,0.14699220867797902
90,"Seattle, WA",50.00000000000002,blue,2002,0.1097765635270112
91,"San Francisco, CA",-33.33333333333333,blue,2002,0.1664927280138722
92,"Detroit, MI",-40.0,blue,2002,0.2555216815825082
93,"San Diego, CA",-27.27272727272727,blue,2002,0.18689760565477395
94,"Minneapolis, MN",-50.0,blue,2002,0.10250253095832691
95,"Tampa, FL",-25.00000000000002,blue,2002,0.10698085755855417
96,"Denver, CO",266.66666666666663,blue,2002,0.1435098049486486
97,"Brooklyn, NY",-55.55555555555555,blue,2002,0.22821063841926098
98,"Baltimore, MD",-40.0,blue,2002,0.09214449731490935
99,"Riverside, CA",200.00000000000006,blue,2002,0.09593481037765218
100,"Las Vegas, NV",150.0,blue,2002,0.385905756990321
101,"Portland, OR",50.000000000000014,blue,2002,0.09742809319581683
102,"San Antonio, TX",900.0,blue,2002,
103,"Kansas City, MO",-71.42857142857143,red,2002,0.37137422700002043
104,"Virginia Beach, VA",100.0,red,2002,0.06755008670053628
105,"Jacksonville, FL",300.0,red,2002,0.43241709915583537
106,"Oklahoma City, OK",37.50000000000001,red,2002,0.3138081878832382
107,"Tulsa, OK",75.00000000000001,red,2002,0.5951902674487467
108,"Colorado Springs, CO",200.00000000000006,red,2002,0.16027027979985448
109,"Bakersfield, CA",150.00000000000003,red,2002,
