,State,death_count
0,AK,121
1,AL,647
2,AR,364
3,AZ,856
4,CA,4688
5,CO,639
6,CT,137
7,DC,83
8,DE,60
9,FL,1782
10,GA,1109
11,HI,107
12,IA,271
13,ID,143
14,IL,1070
15,IN,557
16,KS,401
17,KY,398
18,LA,617
19,MA,195
20,MD,521
21,ME,99
22,MI,857
23,MN,332
24,MO,894
25,MS,416
26,MT,103
27,NC,620
28,ND,38
29,NE,198
30,NH,56
31,NJ,520
32,NM,404
33,NV,391
34,NY,667
35,OH,961
36,OK,679
37,OR,328
38,PA,941
39,RI,28
40,SC,559
41,SD,57
42,TN,632
43,TX,2597
44,UT,247
45,VA,601
46,VT,40
47,WA,646
48,WI,445
49,WV,179
50,WY,58
