,county,date,Latitude,Longitude,death_count,death_hthou,population
0,"Abbeville, AL",2007,31.5713179,-85.2479295,1,389.5597974289053,2567.0
1,"Abbeville, AL",2017,31.572777000000002,-85.2805099,1,389.5597974289053,2567.0
2,"Aberdeen, MD",2014,39.5203225,-76.1804767,1,62.3091781419403,16049.0
3,"Aberdeen, NC",2018,35.12747230000001,-79.4635336,2,262.29508196721315,7625.0
4,"Aberdeen, WA",2011,46.979857200000005,-123.84564340000001,1,34.377256007425494,29089.0
5,"Aberdeen, WA",2019,46.973436,-123.81707,1,34.377256007425494,29089.0
6,"Abilene, KS",2008,38.9285367,-97.20462950000001,1,152.0912547528517,6575.0
7,"Abilene, KS",2011,38.9424937,-97.2116133,1,152.0912547528517,6575.0
8,"Abilene, KS",2018,38.937137,-97.251214,1,152.0912547528517,6575.0
9,"Abilene, TX",2005,32.4383889,-99.63963690000001,1,8.69837514352319,114964.0
10,"Abilene, TX",2006,32.4487364,-99.7331439,1,8.69837514352319,114964.0
11,"Abilene, TX",2011,32.4734153,-99.7536686,1,8.69837514352319,114964.0
12,"Abilene, TX",2012,32.4107721,-99.80635776666666,3,26.09512543056957,114964.0
13,"Abilene, TX",2014,32.5480734,-99.71850429999999,1,8.69837514352319,114964.0
14,"Abilene, TX",2017,32.4314782,-99.71271490000001,1,8.69837514352319,114964.0
15,"Abilene, TX",2018,32.444243,-99.7726651,1,8.69837514352319,114964.0
16,"Abilene, TX",2019,32.442737699999995,-99.7010029,1,8.69837514352319,114964.0
17,"Abilene, TX",2020,32.4530602,-99.7526465,1,8.69837514352319,114964.0
18,"Abingdon, VA",2008,36.7098335,-81.97734820000001,1,125.2975817566721,7981.0
19,"Abingdon, VA",2017,36.64874525,-81.96244684999999,2,250.5951635133442,7981.0
20,"Abita Springs, LA",2013,30.521279999999997,-89.931772,1,393.7007874015748,2540.0
21,"Acampo, CA",2004,38.1898694,-121.31659750000001,1,1923.076923076923,520.0
22,"Acampo, CA",2012,38.1602032,-121.26337279999998,1,1923.076923076923,520.0
23,"Accokeek, MD",2007,38.642536,-77.02945600000001,1,86.61008141347654,11546.0
24,"Accomac, VA",2003,37.7435424,-75.6601938,1,2028.3975659229209,493.0
25,"Ackley, IA",2012,42.545367999999996,-93.05333890000001,1,655.7377049180328,1525.0
26,"Acworth, GA",2004,34.0804965,-84.69691259999999,1,44.05674508767292,22698.0
27,"Acworth, GA",2007,34.076356200000006,-84.6535366,1,44.05674508767292,22698.0
28,"Acworth, GA",2010,34.1331022,-84.62436559999999,1,44.05674508767292,22698.0
29,"Acworth, GA",2013,34.040912,-84.730418,1,44.05674508767292,22698.0
30,"Acworth, GA",2016,34.133044899999994,-84.6767607,1,44.05674508767292,22698.0
31,"Ada, MN",2013,47.3540342,-96.5587955,1,617.283950617284,1620.0
32,"Ada, OH",2010,40.7769008,-83.8229117,1,178.63522686673812,5598.0
33,"Ada, OK",2019,34.780409033333335,-96.67752993333333,3,167.7289500167729,17886.0
34,"Ada, OK",2020,34.8543777,-96.82972009999999,1,55.90965000559097,17886.0
35,"Adairsville, GA",2006,34.3805312,-84.91425809999998,1,206.22808826562178,4849.0
36,"Adairsville, GA",2014,34.374004,-84.98782840000001,1,206.22808826562178,4849.0
37,"Adairsville, GA",2020,34.3770865,-84.9327349,1,206.22808826562178,4849.0
38,"Addis, LA",2001,30.356586,-91.25489820000001,1,191.3143294432753,5227.0
39,"Addis, LA",2016,30.3584298,-91.2540333,1,191.3143294432753,5227.0
40,"Addison, AL",2012,34.202324299999994,-87.1814012,1,1373.6263736263738,728.0
41,"Addison, IL",2012,41.940954000000005,-88.015648,2,54.31830526887561,36820.0
42,"Addison, IL",2019,41.9192119,-88.0211137,1,27.159152634437806,36820.0
43,"Addison, TX",2006,32.9541738,-96.84579140000001,1,64.69142191745374,15458.0
44,"Addison, TX",2016,32.9400024,-96.8557398,1,64.69142191745374,15458.0
45,"Adel, GA",2005,31.160925,-83.53720600000001,1,143.59563469270535,6964.0
46,"Adel, GA",2020,31.1711488,-83.3567934,1,143.59563469270535,6964.0
47,"Adel, IA",2004,41.563590600000005,-93.9468888,1,264.8305084745763,3776.0
48,"Adelanto, CA",2006,34.6015095,-117.43605420000002,1,29.354781893970525,34066.0
49,"Adelanto, CA",2008,34.630534999999995,-117.38311100000001,1,29.354781893970525,34066.0
50,"Adelanto, CA",2010,34.584305,-117.42465600000001,3,88.06434568191158,34066.0
51,"Adelanto, CA",2019,34.5793739,-117.4249775,1,29.354781893970525,34066.0
52,"Adelphi, MD",2011,39.0031924,-76.9719093,1,62.9009938357026,15898.0
53,"Adrian, GA",2001,32.5310058,-82.5892827,1,1550.3875968992247,645.0
54,"Adrian, MI",2000,41.8875484,-84.02362109999999,1,22.79098388677439,43877.0
55,"Adrian, MI",2001,41.916174749999996,-84.07050465,2,45.58196777354878,43877.0
56,"Adrian, MI",2003,41.905530600000006,-84.07935520000001,1,22.79098388677439,43877.0
57,"Adrian, MI",2015,41.896953100000005,-84.01904240000002,1,22.79098388677439,43877.0
58,"Adrian, MI",2019,41.90169960000001,-84.0247767,1,22.79098388677439,43877.0
59,"Adrian, MO",2009,38.440835,-94.370497,1,621.8905472636816,1608.0
60,"Adrian, MO",2020,38.404612,-94.342638,1,621.8905472636816,1608.0
61,"Affton, MO",2000,38.5656635,-90.3208547,1,46.074456321415404,21704.0
62,"Affton, MO",2005,38.5569167,-90.30767,1,46.074456321415404,21704.0
63,"Affton, MO",2009,38.561543900000004,-90.2991097,1,46.074456321415404,21704.0
64,"Affton, MO",2013,38.5403908,-90.32854499999999,1,46.074456321415404,21704.0
65,"Affton, MO",2017,38.5412697,-90.3072099,1,46.074456321415404,21704.0
66,"Agoura Hills, CA",2007,34.082133,-118.704531,1,48.32785617630002,20692.0
67,"Aguanga, CA",2015,33.4765876,-116.81805049999998,1,1204.8192771084339,830.0
68,"Aguanga, CA",2020,33.4698089,-116.7502374,1,1204.8192771084339,830.0
69,"Aiea, HI",2002,21.3786458,-157.9321748,1,107.15816545220746,9332.0
70,"Aiea, HI",2008,21.384859699999996,-157.9404304,1,107.15816545220746,9332.0
71,"Aiea, HI",2011,21.3896597,-157.9520233,1,107.15816545220746,9332.0
72,"Aiea, HI",2017,21.387109699999996,-157.9400179,1,107.15816545220746,9332.0
73,"Aiken, SC",2009,33.493476,-81.7006532,1,32.551023729696304,30721.0
74,"Aiken, SC",2012,33.525249,-81.758768,1,32.551023729696304,30721.0
75,"Aiken, SC",2013,33.5250798,-81.715572,1,32.551023729696304,30721.0
76,"Aiken, SC",2014,33.4483627,-81.5898156,1,32.551023729696304,30721.0
77,"Aiken, SC",2015,33.570158899999996,-81.73370190000001,1,32.551023729696304,30721.0
78,"Aiken, SC",2020,33.58382335,-81.7329804,2,65.10204745939261,30721.0
79,"Ailey, GA",2001,32.260842100000005,-82.50647049999999,1,1841.6206261510129,543.0
80,"Ajo, AZ",2005,32.3717248,-112.86070990000002,1,283.68794326241135,3525.0
81,"Akron, OH",2000,41.090236,-81.574747,1,1.7670342097823013,565920.0
82,"Akron, OH",2001,41.1382411,-81.540819,1,1.7670342097823013,565920.0
83,"Akron, OH",2002,41.072676,-81.49946249999999,2,3.5340684195646026,565920.0
84,"Akron, OH",2003,41.07272283333333,-81.50351760000001,3,5.301102629346904,565920.0
85,"Akron, OH",2004,41.0443836,-81.4450087,1,1.7670342097823013,565920.0
86,"Akron, OH",2005,41.04773083333334,-81.46612,3,5.301102629346904,565920.0
87,"Akron, OH",2007,41.0671145,-81.53329775,2,3.5340684195646026,565920.0
88,"Akron, OH",2008,41.0658513,-81.5479505,1,1.7670342097823013,565920.0
89,"Akron, OH",2010,41.1688075,-81.6262265,2,3.5340684195646026,565920.0
