,county,date,party,Latitude,Longitude,death_count,death_hthou,population
0,"Abbeville, AL",2007,red,31.5713179,-85.2479295,1,389.5597974289053,2567.0
1,"Abbeville, AL",2017,red,31.572777000000002,-85.2805099,1,389.5597974289053,2567.0
2,"Aberdeen, MD",2014,red,39.5203225,-76.1804767,1,62.3091781419403,16049.0
3,"Aberdeen, NC",2018,red,35.12747230000001,-79.4635336,2,262.29508196721315,7625.0
4,"Aberdeen, WA",2011,red,46.979857200000005,-123.84564340000001,1,34.377256007425494,29089.0
5,"Aberdeen, WA",2019,red,46.973436,-123.81707,1,34.377256007425494,29089.0
6,"Abilene, KS",2008,red,38.9285367,-97.20462950000001,1,152.0912547528517,6575.0
7,"Abilene, KS",2011,red,38.9424937,-97.2116133,1,152.0912547528517,6575.0
8,"Abilene, KS",2018,red,38.937137,-97.251214,1,152.0912547528517,6575.0
9,"Abilene, TX",2005,red,32.4383889,-99.63963690000001,1,8.69837514352319,114964.0
10,"Abilene, TX",2006,red,32.4487364,-99.7331439,1,8.69837514352319,114964.0
11,"Abilene, TX",2011,red,32.4734153,-99.7536686,1,8.69837514352319,114964.0
12,"Abilene, TX",2012,red,32.4107721,-99.80635776666666,3,26.09512543056957,114964.0
13,"Abilene, TX",2014,red,32.5480734,-99.71850429999999,1,8.69837514352319,114964.0
14,"Abilene, TX",2017,red,32.4314782,-99.71271490000001,1,8.69837514352319,114964.0
15,"Abilene, TX",2018,red,32.444243,-99.7726651,1,8.69837514352319,114964.0
16,"Abilene, TX",2019,red,32.442737699999995,-99.7010029,1,8.69837514352319,114964.0
17,"Abilene, TX",2020,red,32.4530602,-99.7526465,1,8.69837514352319,114964.0
18,"Abingdon, VA",2008,red,36.7098335,-81.97734820000001,1,125.2975817566721,7981.0
19,"Abingdon, VA",2017,red,36.64874525,-81.96244684999999,2,250.5951635133442,7981.0
20,"Abita Springs, LA",2013,red,30.521279999999997,-89.931772,1,393.7007874015748,2540.0
21,"Acampo, CA",2004,blue,38.1898694,-121.31659750000001,1,1923.076923076923,520.0
22,"Acampo, CA",2012,blue,38.1602032,-121.26337279999998,1,1923.076923076923,520.0
23,"Accokeek, MD",2007,blue,38.642536,-77.02945600000001,1,86.61008141347654,11546.0
24,"Accomac, VA",2003,red,37.7435424,-75.6601938,1,2028.3975659229209,493.0
25,"Ackley, IA",2012,red,42.545367999999996,-93.05333890000001,1,655.7377049180328,1525.0
26,"Acworth, GA",2004,blue,34.0804965,-84.69691259999999,1,44.05674508767292,22698.0
27,"Acworth, GA",2007,blue,34.076356200000006,-84.6535366,1,44.05674508767292,22698.0
28,"Acworth, GA",2010,blue,34.1331022,-84.62436559999999,1,44.05674508767292,22698.0
