,county,date,party,Latitude,Longitude,death_count,death_hthou,population
0,"Abbeville, AL",2007,red,31.5713179,-85.2479295,1,38.955979742890534,2567.0
1,"Abbeville, AL",2017,red,31.572777000000002,-85.2805099,1,38.955979742890534,2567.0
2,"Aberdeen, MD",2014,red,39.5203225,-76.1804767,1,6.23091781419403,16049.0
3,"Aberdeen, NC",2018,red,35.12747230000001,-79.4635336,2,26.229508196721312,7625.0
4,"Aberdeen, WA",2011,red,46.979857200000005,-123.8456434,1,3.437725600742549,29089.0
5,"Aberdeen, WA",2019,red,46.973436,-123.81707,1,3.437725600742549,29089.0
6,"Abilene, KS",2008,red,38.9285367,-97.2046295,1,15.209125475285171,6575.0
7,"Abilene, KS",2011,red,38.9424937,-97.2116133,1,15.209125475285171,6575.0
8,"Abilene, KS",2018,red,38.937137,-97.251214,1,15.209125475285171,6575.0
9,"Abilene, TX",2005,red,32.4383889,-99.6396369,1,0.869837514352319,114964.0
10,"Abilene, TX",2006,red,32.4487364,-99.7331439,1,0.869837514352319,114964.0
11,"Abilene, TX",2011,red,32.4734153,-99.7536686,1,0.869837514352319,114964.0
12,"Abilene, TX",2012,red,32.4107721,-99.80635776666666,3,2.609512543056957,114964.0
13,"Abilene, TX",2014,red,32.5480734,-99.7185043,1,0.869837514352319,114964.0
14,"Abilene, TX",2017,red,32.4314782,-99.7127149,1,0.869837514352319,114964.0
15,"Abilene, TX",2018,red,32.444243,-99.7726651,1,0.869837514352319,114964.0
16,"Abilene, TX",2019,red,32.442737699999995,-99.7010029,1,0.869837514352319,114964.0
17,"Abilene, TX",2020,red,32.47095815,-99.74601279999999,2,1.739675028704638,114964.0
18,"Abingdon, VA",2008,red,36.7098335,-81.97734820000002,1,12.52975817566721,7981.0
19,"Abingdon, VA",2017,red,36.64874525,-81.96244684999999,2,25.05951635133442,7981.0
20,"Abita Springs, LA",2013,red,30.521279999999997,-89.931772,1,39.37007874015748,2540.0
21,"Acampo, CA",2004,blue,38.1898694,-121.3165975,1,192.30769230769232,520.0
22,"Acampo, CA",2012,blue,38.1602032,-121.26337279999998,1,192.30769230769232,520.0
23,"Accokeek, MD",2007,blue,38.642536,-77.02945600000002,1,8.661008141347653,11546.0
24,"Accomac, VA",2003,red,37.7435424,-75.6601938,1,202.83975659229208,493.0
25,"Ackley, IA",2012,red,42.545367999999996,-93.0533389,1,65.57377049180327,1525.0
26,"Acworth, GA",2004,blue,34.0804965,-84.69691259999998,1,4.405674508767293,22698.0
27,"Acworth, GA",2007,blue,34.076356200000006,-84.6535366,1,4.405674508767293,22698.0
28,"Acworth, GA",2010,blue,34.1331022,-84.62436559999998,1,4.405674508767293,22698.0
29,"Acworth, GA",2013,blue,34.040912,-84.730418,1,4.405674508767293,22698.0
30,"Acworth, GA",2016,blue,34.133044899999994,-84.6767607,1,4.405674508767293,22698.0
31,"Ada, MN",2013,red,47.3540342,-96.5587955,1,61.72839506172839,1620.0
32,"Ada, OH",2010,red,40.7769008,-83.8229117,1,17.86352268667381,5598.0
33,"Ada, OK",2019,red,34.780409033333335,-96.67752993333333,3,16.772895001677288,17886.0
34,"Ada, OK",2020,red,34.8543777,-96.8297201,1,5.5909650005590965,17886.0
35,"Adair, OK",2008,red,36.461098,-95.348692,1,122.69938650306749,815.0
36,"Adairsville, GA",2006,red,34.3805312,-84.91425809999998,1,20.622808826562178,4849.0
37,"Adairsville, GA",2014,red,34.374004,-84.98782840000001,1,20.622808826562178,4849.0
38,"Adairsville, GA",2020,red,34.3770865,-84.9327349,1,20.622808826562178,4849.0
39,"Addis, LA",2001,red,30.356586,-91.2548982,1,19.131432944327532,5227.0
40,"Addis, LA",2016,red,30.3584298,-91.2540333,1,19.131432944327532,5227.0
41,"Addison, AL",2012,red,34.202324299999994,-87.1814012,1,137.36263736263737,728.0
42,"Addison, IL",2012,blue,41.940954000000005,-88.015648,2,5.431830526887561,36820.0
43,"Addison, IL",2019,blue,41.9192119,-88.0211137,1,2.7159152634437804,36820.0
44,"Addison, TX",2006,blue,32.9541738,-96.8457914,1,6.469142191745374,15458.0
45,"Addison, TX",2016,blue,32.9400024,-96.8557398,1,6.469142191745374,15458.0
46,"Adel, GA",2005,red,31.160925,-83.53720600000003,1,14.359563469270535,6964.0
47,"Adel, GA",2020,red,31.1711488,-83.3567934,1,14.359563469270535,6964.0
48,"Adel, IA",2004,red,41.563590600000005,-93.9468888,1,26.483050847457626,3776.0
49,"Adelanto, CA",2006,blue,34.6015095,-117.43605420000002,1,2.9354781893970525,34066.0
50,"Adelanto, CA",2008,blue,34.630534999999995,-117.383111,1,2.9354781893970525,34066.0
51,"Adelanto, CA",2010,blue,34.584305,-117.42465600000001,3,8.806434568191158,34066.0
52,"Adelanto, CA",2019,blue,34.5793739,-117.4249775,1,2.9354781893970525,34066.0
53,"Adelphi, MD",2011,blue,39.0031924,-76.9719093,1,6.2900993835702605,15898.0
54,"Adrian, GA",2001,red,32.5310058,-82.5892827,1,155.03875968992247,645.0
55,"Adrian, MI",2000,red,41.8875484,-84.02362109999999,1,2.279098388677439,43877.0
56,"Adrian, MI",2001,red,41.916174749999996,-84.07050465,2,4.558196777354878,43877.0
57,"Adrian, MI",2003,red,41.905530600000006,-84.07935520000002,1,2.279098388677439,43877.0
58,"Adrian, MI",2015,red,41.896953100000005,-84.01904240000002,1,2.279098388677439,43877.0
59,"Adrian, MI",2019,red,41.90169960000001,-84.0247767,1,2.279098388677439,43877.0
60,"Adrian, MO",2009,red,38.440835,-94.370497,1,62.189054726368155,1608.0
61,"Adrian, MO",2020,red,38.404612,-94.342638,1,62.189054726368155,1608.0
62,"Agoura Hills, CA",2007,blue,34.082133,-118.704531,1,4.832785617630002,20692.0
63,"Aguanga, CA",2015,blue,33.4765876,-116.81805049999998,1,120.48192771084338,830.0
64,"Aguanga, CA",2020,blue,33.4698089,-116.7502374,1,120.48192771084338,830.0
65,"Aiea, HI",2002,blue,21.3786458,-157.9321748,1,10.715816545220745,9332.0
66,"Aiea, HI",2008,blue,21.384859699999996,-157.9404304,1,10.715816545220745,9332.0
67,"Aiea, HI",2011,blue,21.3896597,-157.9520233,1,10.715816545220745,9332.0
68,"Aiea, HI",2017,blue,21.387109699999996,-157.9400179,1,10.715816545220745,9332.0
69,"Aiken, SC",2009,red,33.493476,-81.7006532,1,3.2551023729696302,30721.0
70,"Aiken, SC",2012,red,33.525249,-81.758768,1,3.2551023729696302,30721.0
71,"Aiken, SC",2013,red,33.5250798,-81.715572,1,3.2551023729696302,30721.0
72,"Aiken, SC",2014,red,33.4483627,-81.5898156,1,3.2551023729696302,30721.0
73,"Aiken, SC",2015,red,33.570158899999996,-81.73370190000001,1,3.2551023729696302,30721.0
74,"Aiken, SC",2020,red,33.58382335,-81.7329804,2,6.5102047459392605,30721.0
75,"Ailey, GA",2001,red,32.260842100000005,-82.50647049999998,1,184.1620626151013,543.0
76,"Ajo, AZ",2005,blue,32.3717248,-112.86070990000002,1,28.368794326241133,3525.0
77,"Akron, OH",2000,blue,41.090236,-81.574747,1,0.17670342097823014,565920.0
78,"Akron, OH",2001,blue,41.1382411,-81.540819,1,0.17670342097823014,565920.0
79,"Akron, OH",2002,blue,41.072676,-81.49946249999999,2,0.35340684195646027,565920.0
80,"Akron, OH",2003,blue,41.07272283333333,-81.50351760000002,3,0.5301102629346904,565920.0
81,"Akron, OH",2004,blue,41.0443836,-81.4450087,1,0.17670342097823014,565920.0
82,"Akron, OH",2005,blue,41.04773083333334,-81.46611999999999,3,0.5301102629346904,565920.0
83,"Akron, OH",2007,blue,41.0671145,-81.53329775,2,0.35340684195646027,565920.0
84,"Akron, OH",2008,blue,41.0658513,-81.5479505,1,0.17670342097823014,565920.0
85,"Akron, OH",2010,blue,41.1688075,-81.6262265,2,0.35340684195646027,565920.0
86,"Akron, OH",2012,blue,41.0644893,-81.4998947,2,0.35340684195646027,565920.0
87,"Akron, OH",2013,blue,41.0659091,-81.5204926,1,0.17670342097823014,565920.0
88,"Akron, OH",2014,blue,41.085442,-81.567132,1,0.17670342097823014,565920.0
89,"Akron, OH",2015,blue,41.043704475,-81.48532335,4,0.7068136839129205,565920.0
90,"Akron, OH",2016,blue,41.041962,-81.5632706,1,0.17670342097823014,565920.0
91,"Akron, OH",2017,blue,41.066961575,-81.53074502499999,4,0.7068136839129205,565920.0
92,"Akron, OH",2018,blue,41.0338377,-81.53057540000002,3,0.5301102629346904,565920.0
93,"Akron, OH",2019,blue,41.08331200000001,-81.47832715000001,2,0.35340684195646027,565920.0
94,"Akron, OH",2020,blue,41.0679642,-81.52722276666667,3,0.5301102629346904,565920.0
95,"Alabaster, AL",2004,red,33.2153859,-86.792428,1,3.011866755014758,33202.0
96,"Alabaster, AL",2010,red,33.264648,-86.816556,1,3.011866755014758,33202.0
97,"Alameda, CA",2000,blue,37.7642723,-122.2675352,1,1.2629930409083447,79177.0
98,"Alameda, CA",2011,blue,37.766381,-122.2733688,1,1.2629930409083447,79177.0
99,"Alameda, CA",2013,blue,37.7594473,-122.2309855,1,1.2629930409083447,79177.0
100,"Alameda, CA",2017,blue,37.7723933,-122.2499155,1,1.2629930409083447,79177.0
101,"Alameda, CA",2018,blue,37.76870220000001,-122.241304,1,1.2629930409083447,79177.0
102,"Alamo Heights, TX",2013,blue,29.476681199999998,-98.4616725,1,11.886366337810532,8413.0
103,"Alamo, CA",2012,blue,37.86305,-122.03445659999998,1,6.4428838348044595,15521.0
104,"Alamo, TN",2016,red,35.858567799999996,-89.1277472,1,42.93688278231001,2329.0
105,"Alamo, TN",2017,red,35.7997875,-89.1593396,1,42.93688278231001,2329.0
106,"Alamogordo, NM",2010,red,32.9510029,-106.0213594,1,3.0539013589861046,32745.0
107,"Alamogordo, NM",2016,red,32.885053899999996,-105.9523438,1,3.0539013589861046,32745.0
108,"Alamogordo, NM",2018,red,32.905736950000005,-105.9472566,2,6.107802717972209,32745.0
109,"Alamogordo, NM",2019,red,32.8489549,-106.0228039,1,3.0539013589861046,32745.0
110,"Alamosa, CO",2013,blue,37.469449100000006,-105.8700214,1,9.121590805436467,10963.0
111,"Alamosa, CO",2018,blue,37.5758444,-105.86977466666667,3,27.364772416309403,10963.0
112,"Alanson, MI",2006,red,45.4137721,-84.7504172,1,132.80212483399734,753.0
113,"Albany, GA",2004,blue,31.571507,-84.15812,1,1.1047892614483787,90515.0
114,"Albany, GA",2009,blue,31.5867669,-84.16625620000002,2,2.2095785228967575,90515.0
115,"Albany, GA",2010,blue,31.559601,-84.163269,1,1.1047892614483787,90515.0
116,"Albany, GA",2016,blue,31.569189,-84.16187,1,1.1047892614483787,90515.0
117,"Albany, GA",2017,blue,31.570070899999997,-84.0867021,1,1.1047892614483787,90515.0
