,county,Latitude,Longitude,death_count
0,Absecon,39.4517131,-74.5337485,1
1,Acadia,30.22932617142857,-92.35952178571426,7
2,Accomack,37.639239950000004,-75.74176725000001,2
3,Ada,43.61639871875,-116.287649,32
4,Adair,35.872908816666666,-94.64140225,6
5,Adams,39.721568190196066,-102.69314444313723,102
6,Addison,44.03471066666666,-73.13644679999999,3
7,Aiken,33.52354813,-81.79201262499998,20
8,Aitkin,46.39634125,-93.4239278,2
9,Alachua,29.66980389444445,-82.3347290777778,18
10,Alamance,36.09662316363636,-79.41016141818183,11
11,Alameda,37.72090931266375,-122.1396495323143,229
12,Alamosa,37.549245575,-105.86983635,4
13,Albany,42.406848600000004,-80.17077669333334,15
14,Albemarle,38.0517317625,-78.417399275,8
15,Alcona,44.7275809,-83.5084959,1
16,Alcorn,34.914557525,-88.5121206,4
17,Alexander,37.2352624,-89.2641438,1
18,Alexandria City,38.821312379999995,-77.0747997,5
19,Alger,46.274750399999995,-86.61524399999999,1
20,Allegan,42.628172416666665,-85.78224915,12
21,Allegany,39.618856075,-78.72363735,4
22,Alleghany,36.48166205,-81.10557245000001,2
23,Allegheny,40.4442916611111,-79.95116240833337,108
24,Allen,40.35716859999999,-85.51995480000001,49
25,Allendale,33.0046299,-81.3160569,1
26,Amador,38.371415500000005,-120.79997859999999,2
27,Amherst,37.557191360000004,-79.05852898,5
28,Amite,31.1938499,-91.01714390000001,1
29,Anchorage,61.207154505263155,-149.80904097894737,38
30,Anderson,34.708313827118644,-84.25394160338985,59
31,Andrew,40.000734449999996,-94.7838456,2
32,Andrews,32.3063664,-102.5424901,1
33,Androscoggin,44.10684468888889,-70.24721088888887,9
34,Angelina,31.34899544,-94.64623426,10
35,Anne Arundel,39.09688672894737,-76.61882776842107,38
36,Anoka,45.15707900666668,-93.28500229333332,15
37,Anson,34.977326485714286,-80.16479919999999,7
38,Antelope,42.1700064,-98.18840440000001,1
39,Apache,35.296570227272724,-109.27503097272728,11
40,Appling,31.667700800000002,-82.2613485,1
41,Appomattox,37.32018529999999,-78.8330672,1
42,Aransas,28.06013765,-97.0684859,2
43,Arapahoe,39.67897444333334,-104.84872025666664,60
44,Archuleta,37.037619,-106.92227700000001,1
45,Arkansas,34.2620633,-91.28218123333333,3
46,Arlington,38.87284189230769,-77.0879471923077,13
47,Armstrong,35.110532299999996,-101.3600306,1
48,Aroostook,46.01041325,-69.43502228999999,10
49,Ascension,30.224923722222222,-90.94642159999998,9
50,Ashe,36.41197245,-81.470656,2
51,Ashland,43.757792875,-86.512365125,4
52,Ashtabula,41.77678774545455,-80.78055790909093,11
53,Assumption,29.871207000000002,-90.99102490000001,1
54,Atascosa,28.992530325,-98.53588375,8
55,Atchison,39.5660336,-95.14187749999999,2
56,Athens,39.1908953,-81.7444669,1
57,Athens-Clarke,33.93896132500001,-83.391206725,4
58,Atkinson,31.2957875,-82.85355320000001,1
59,Atlantic,39.44629895999999,-74.55714825999999,20
60,Atoka,34.27190725,-95.9249757,2
61,Attala,33.0661104,-89.5782935,2
62,Audrain,39.16287,-91.64798359999999,1
63,Auglaize,40.53260769999999,-84.3648436,3
64,Augusta,38.10905326666667,-78.9639262,3
65,Aurora,43.708565,-98.627279,1
66,Austin,29.8793737,-96.2024954,2
67,Autauga,32.55266992857143,-86.47397867142857,7
68,Avery,36.0629041,-81.79740495,2
69,Avoyelles,31.080683775,-92.114896225,4
70,Baca,37.527915,-102.710792,1
71,Bacon,31.5393701,-82.4623557,1
72,Baker,30.493529559999995,-82.63905978,5
73,Baldwin,30.765715065384605,-87.41391278846154,26
74,Baltimore,39.352962207070696,-76.61978804242422,99
75,Baltimore City,39.30569980319999,-76.61956764239999,125
76,Bamberg,33.3846154,-81.07173470000001,1
77,Bandera,29.622586433333336,-98.97936943333333,3
78,Banks,34.240663299999994,-83.42675799999999,1
79,Bannock,42.83858491428572,-112.41128657142859,7
80,Barber,37.35669815,-98.692048125,4
81,Barbour,31.854263066666665,-85.20867138888889,9
82,Barnstable,41.71845661999999,-70.31114207,10
83,Barnwell,33.2451782,-81.36579253333333,3
84,Barren,37.06296596,-85.91694848,5
85,Barron,45.4035309,-91.8723682,3
86,Barrow,34.00133112,-83.77800667,10
87,Barry,41.020556509090916,-87.6689518,11
88,Bartholomew,39.2132339,-85.97412183333334,3
89,Barton,38.2457932,-98.11776531666668,6
90,Bartow,34.230504385,-84.83251657,20
91,Bastrop,30.19446775,-97.37032190000001,6
92,Bates,38.3408007,-94.34991310000001,4
93,Bath,38.15253886666667,-82.41852193333334,3
94,Baxter,36.307758542857144,-92.3587642142857,7
95,Bay,34.94691936451612,-85.0503779967742,31
96,Beadle,44.349448200000005,-98.2244633,1
97,Beaufort,32.61312230000001,-80.46181658333334,12
98,Beauregard,30.76569093333333,-93.21973683333333,6
99,Beaver,40.694390475,-80.3246053875,8
100,Beaverhead,45.158391800000004,-112.70684965,2
101,Beckham,35.352457025,-99.52808862500001,4
102,Bedford,37.09503245,-82.7336670625,8
103,Bedford City,37.33664936666667,-79.5036161,3
104,Bee,28.402627949999996,-97.74610489999999,4
105,Belknap,43.46922988,-71.48286438,5
106,Bell,31.871186608571424,-95.5648460685714,35
107,Belmont,40.00489083333333,-80.75787193333333,3
108,Beltrami,47.70947077142857,-94.92515142857144,7
109,Ben Hill,31.727235999999998,-83.241988,1
110,Benewah,47.2833944,-116.91199909999999,1
111,Bennington,42.768319299999995,-73.2416476,1
112,Benson,47.9799986,-98.9929005,1
113,Bent,38.105087100000006,-103.1244954,2
114,Benton,40.38768240714287,-103.21848085238095,42
115,Benzie,44.658864200000004,-85.8245566,1
116,Bergen,40.91503342857142,-74.05566823214285,28
117,Berkeley,35.25823639374999,-79.31916863125001,32
118,Berks,40.38739211923076,-75.91194844230768,26
119,Berkshire,42.438001799999995,-73.2591225,1
120,Bernalillo,35.09986076894409,-106.58871934161488,161
121,Berrien,41.08942156521741,-86.1148120130435,23
122,Bertie,36.0099287,-76.95486700000001,1
123,Bethel,60.794125733333324,-161.78157073333333,3
124,Bexar,29.45282694879031,-98.51394678911294,248
125,Bibb,32.82353737391305,-83.83985227391305,23
126,Big Horn,44.8447332,-107.70520660000001,2
127,Bingham,43.18933654999999,-112.3524516,2
128,Black Hawk,42.49489862222222,-92.35999337777778,9
129,Bladen,34.62866474,-78.67393002000001,5
130,Blaine,43.6891165,-114.37955659999999,1
131,Blair,40.46288185,-78.36874591666667,6
132,Bleckley,32.35726125,-83.33596285,2
133,Blount,35.4012159,-84.49327659,20
134,Blue Earth,44.14378358333334,-93.99004223333334,6
135,Bolivar,33.70514119999999,-90.78087581666666,6
136,Bond,38.903805649999995,-89.51337649999999,2
137,Bonner,48.3385336,-116.60906866,5
138,Bonneville,43.50425335714285,-111.97765190714283,14
139,Boone,39.71999415882354,-90.5379268617647,34
140,Bosque,31.8789869,-97.4115357,1
141,Bossier,32.518833092307695,-93.66388077692308,13
142,Botetourt,37.51384744,-79.71672258000001,5
143,Boulder,40.08200821304348,-105.19053525217392,23
144,Boundary,48.9840349,-116.17312350000002,1
145,Bourbon,38.11080182,-86.2927415,5
146,Bowie,33.44878597999999,-94.22948880999999,10
147,Box Butte,42.0971859,-102.87086479999999,1
148,Box Elder,41.485299600000005,-112.08093975,2
149,Boyd,38.40806606666666,-82.71132233333334,3
150,Boyle,37.56606585,-84.82085000000001,2
151,Bracken,38.758851299999996,-84.19618220000001,1
152,Bradford,32.34345288000001,-81.04451581999999,5
153,Bradley,35.09332364615384,-85.34075438461538,13
154,Branch,41.96215085,-85.049393175,4
155,Braxton,38.7168837,-80.7411573,2
156,Brazoria,29.251493344,-95.38694743600001,25
157,Brazos,30.632488900000002,-96.35689563333334,3
158,Breathitt,37.51973515,-83.387841,4
159,Breckinridge,37.7608984,-86.4404041,1
160,Brevard,28.21850863653847,-80.68011180192306,52
161,Brewster,30.3571192,-103.6684276,1
162,Bristol,41.04529020000001,-72.66444830434783,23
163,Bronx,40.84240298714286,-73.88800525857141,70
164,Brooke,40.3172314,-80.57669085,2
165,Brooks,28.02564495555555,-94.8891864888889,9
166,Broome,41.0634711,-76.9933192,5
167,Broomfield,39.93071822500001,-105.07169007499999,4
168,Broward,26.122873006211194,-80.20239864906839,161
169,Brown,41.36955244166666,-89.25668925833334,24
170,Brunswick,35.12253853,-78.11478727,10
171,Bryan,33.20448053333333,-91.45595926666668,3
172,Buchanan,39.623826811111115,-93.23295203888888,18
173,Buckingham,37.6335985,-78.46593715,2
174,Bucks,40.23413839032258,-75.0174489548387,31
175,Buena Vista,42.6538219,-95.20079129999999,1
176,Buffalo,41.334301499999995,-99.06654271666666,6
177,Bullitt,37.974136924999996,-85.69926732500001,4
178,Bulloch,32.41443336,-81.7388246,5
179,Buncombe,35.59468411818182,-82.62894620909091,11
180,Bureau,41.36784556666667,-89.62290006666667,3
181,Burke,35.749996010000004,-83.88199707999999,10
182,Burleigh,46.808156000000004,-100.76470481999999,5
183,Burleson,30.536554633333335,-96.65035276666667,3
184,Burlington,39.977663633333336,-74.78096414444444,18
185,Burnet,30.6791562,-98.28539885,2
186,Burnett,45.81652106666667,-92.47767836666667,3
187,Butler,38.43231373571429,-86.34024426071427,56
188,Butte,39.68432133499999,-121.39852896500001,40
189,Butts,33.26296765555555,-84.00222984444443,9
190,Cabarrus,35.37087856666667,-80.59042998333334,6
191,Cabell,38.41679794545454,-82.40706812727272,11
192,Cache,41.750181960000006,-111.79312852000001,5
193,Caddo,32.71896597413794,-94.18166458103447,58
194,Calaveras,38.163622325,-120.56808845,4
195,Calcasieu,30.240546952000003,-93.24048814799998,25
196,Caldwell,35.45311526363636,-83.55548309090909,11
197,Calhoun,36.67324088703703,-85.81783874629627,54
198,Callahan,32.3881685,-98.979222,1
199,Callaway,38.895835399999996,-91.91774216666666,6
200,Calloway,36.63535973333333,-88.3053364,3
201,Calvert,38.58363144,-76.59380788,5
202,Camas,43.621395,-114.867652,1
203,Cambria,40.363137875,-78.84999529999999,8
204,Camden,38.745287684210545,-76.1832564403509,57
205,Cameron,26.02200647741936,-97.57077820322581,31
206,Campbell,39.30099402105264,-88.00265429473684,19
207,Canadian,35.493881037499996,-97.77447062499999,16
208,Candler,32.25763753333333,-81.70453806666667,3
209,Canyon,43.60245301304348,-116.60432618695651,23
210,Cape Girardeau,37.33054993333333,-89.63693625555555,9
211,Cape May,39.12602878999999,-74.7626733,10
212,Carbon,41.312042946153845,-96.4252961230769,13
213,Carlton,46.71129765,-92.44314250000001,2
214,Caroline,38.698623500000004,-76.3634659,3
215,Carroll,36.43413889600001,-82.942929408,25
216,Carson,35.3449011,-101.3802673,1
217,Carson City,39.1781949,-119.7343998625,8
218,Carter,36.085667433333334,-86.64767486666668,21
219,Carteret,34.71821426666667,-76.80840996666667,3
220,Carver,44.82823776666667,-93.59502613333332,3
221,Cascade,47.50882525555556,-111.2892461888889,9
222,Casey,37.323013399999994,-84.9330005,1
223,Cass,40.75758135294118,-92.27361275000001,34
224,Caswell,36.5231001,-79.3956013,2
225,Catawba,35.696200049999995,-81.27108576666667,12
226,Catoosa,34.96324226666666,-85.17468889999999,6
227,Cattaraugus,42.465601899999996,-78.641544,1
228,Cayuga,42.933876700000006,-76.5787842,1
229,Cecil,39.631149315,-75.93563801999998,20
230,Cedar,40.40085906666666,-92.2396978,3
231,Centre,40.788883500000004,-77.8618302,4
232,Cerro Gordo,43.1545084,-93.2059311,2
233,Chaffee,38.63050313333333,-106.04489686666666,3
