,city,%_change,party,year,value
0,"Los Angeles, CA",-43.75,blue,2000,0.12484905943790611
1,"Chicago, IL",42.85714285714286,blue,2000,0.16136501896845798
2,"Miami, FL",75.0,blue,2000,0.06267661093775805
3,"Dallas, TX",1100.0,blue,2000,0.017442086603797247
4,"Philadelphia, PA",-27.27272727272727,blue,2000,0.19510866133464258
5,"Houston, TX",342.8571428571429,blue,2000,0.12852365973691574
6,"Atlanta, GA",200.00000000000006,blue,2000,0.09562514941429595
7,"Phoenix, AZ",280.0,red,2000,0.12249350723164919
8,"Seattle, WA",50.00000000000002,blue,2000,0.1097765635270112
9,"San Francisco, CA",33.333333333333336,blue,2000,0.0832463640069361
10,"Detroit, MI",-10.000000000000012,blue,2000,0.28391297953612027
11,"San Diego, CA",9.090909090909092,blue,2000,0.3426456103670856
12,"Minneapolis, MN",-16.666666666666675,blue,2000,0.20500506191665382
13,"Tampa, FL",-12.500000000000005,blue,2000,0.2852822868228112
14,"Denver, CO",166.66666666666666,blue,2000,0.10763235371148645
15,"Brooklyn, NY",-77.77777777777777,blue,2000,0.34231595762889144
16,"Queens, NY",33.33333333333334,blue,2000,0.12858682225100662
17,"Baltimore, MD",-19.999999999999993,blue,2000,0.46072248657454673
18,"Riverside, CA",0.0,blue,2000,0.04796740518882609
19,"Las Vegas, NV",750.0000000000002,blue,2000,0.09647643924758025
20,"Portland, OR",-75.00000000000001,blue,2000,0.19485618639163366
21,"Kansas City, MO",85.71428571428572,red,2000,0.4332699315000238
22,"Virginia Beach, VA",300.0,red,2000,0.06755008670053628
23,"Jacksonville, FL",400.0,red,2000,0.17296683966233414
24,"Oklahoma City, OK",37.50000000000001,red,2000,0.8368218343553019
25,"Sarasota, FL",0.0,red,2000,0.1415939227888339
26,"Tulsa, OK",49.999999999999986,red,2000,0.5951902674487467
27,"Colorado Springs, CO",66.6666666666667,red,2000,0.4808108393995634
28,"Bakersfield, CA",550.0000000000001,red,2000,0.34821245138083645
29,"Mesa, AZ",300.0,red,2000,0.20145003736898193
30,"Chattanooga, TN",0.0,red,2000,0.49118084787637956
31,"Spokane, WA",100.0,red,2000,0.24811248427587132
32,"Pensacola, FL",100.0,red,2000,0.29036004645760743
33,"Corpus Christi, TX",400.0,red,2000,0.29288151478319446
34,"Huntsville, AL",300.0,red,2000,0.3228764416433119
35,"Springfield, MO",100.0,red,2000,0.34816274519361334
36,"St. Petersburg, FL",149.99999999999994,red,2000,0.7597196634441892
37,"Lubbock, TX",199.99999999999997,red,2000,0.7618902497095293
38,"Chandler, AZ",0.0,red,2000,0.7890853711463043
39,"Killeen, TX",200.00000000000006,red,2000,0.40405836218983465
40,United States,102.08603018013629,,2000,0.27537332036760914
41,"Los Angeles, CA",-43.75,blue,2001,0.12484905943790611
42,"Chicago, IL",42.85714285714286,blue,2001,0.13831287340153542
43,"Miami, FL",75.0,blue,2001,0.09401491640663708
44,"Dallas, TX",1100.0,blue,2001,0.017442086603797247
45,"Philadelphia, PA",-27.27272727272727,blue,2001,0.08868575515211026
46,"Houston, TX",342.8571428571429,blue,2001,0.16524470537603453
47,"Atlanta, GA",200.00000000000006,blue,2001,0.1721252689457327
48,"Phoenix, AZ",280.0,red,2001,0.2694857159096282
49,"Seattle, WA",50.00000000000002,blue,2001,0.16466484529051684
50,"San Francisco, CA",33.333333333333336,blue,2001,0.11099515200924813
51,"Detroit, MI",-10.000000000000012,blue,2001,0.14195648976806013
52,"San Diego, CA",9.090909090909092,blue,2001,0.3426456103670856
53,"Minneapolis, MN",-16.666666666666675,blue,2001,0.13667004127776922
54,"Tampa, FL",-12.500000000000005,blue,2001,0.0713205717057028
55,"Denver, CO",166.66666666666666,blue,2001,0.3587745123716215
56,"Brooklyn, NY",-77.77777777777777,blue,2001,0.15214042561284066
57,"Queens, NY",33.33333333333334,blue,2001,
58,"Baltimore, MD",-19.999999999999993,blue,2001,0.1842889946298187
59,"Riverside, CA",0.0,blue,2001,0.04796740518882609
60,"Las Vegas, NV",750.0000000000002,blue,2001,0.48238219623790124
61,"Portland, OR",-75.00000000000001,blue,2001,0.24357023298954206
62,"Kansas City, MO",85.71428571428572,red,2001,0.618957045000034
63,"Virginia Beach, VA",300.0,red,2001,0.2702003468021451
64,"Jacksonville, FL",400.0,red,2001,
65,"Oklahoma City, OK",37.50000000000001,red,2001,0.41841091717765094
66,"Sarasota, FL",0.0,red,2001,
67,"Tulsa, OK",49.999999999999986,red,2001,0.7439878343109334
68,"Colorado Springs, CO",66.6666666666667,red,2001,0.16027027979985448
69,"Bakersfield, CA",550.0000000000001,red,2001,0.5223186770712547
70,"Mesa, AZ",300.0,red,2001,0.8058001494759277
71,"Chattanooga, TN",0.0,red,2001,0.24559042393818978
72,"Spokane, WA",100.0,red,2001,0.24811248427587132
73,"Pensacola, FL",100.0,red,2001,0.29036004645760743
74,"Corpus Christi, TX",400.0,red,2001,0.29288151478319446
75,"Huntsville, AL",300.0,red,2001,
76,"Springfield, MO",100.0,red,2001,
77,"St. Petersburg, FL",149.99999999999994,red,2001,
78,"Lubbock, TX",199.99999999999997,red,2001,0.7618902497095293
79,"Chandler, AZ",0.0,red,2001,0.39454268557315214
80,"Killeen, TX",200.00000000000006,red,2001,
81,United States,102.08603018013629,,2001,0.30248909043442995
82,"Los Angeles, CA",-43.75,blue,2002,0.13265212565277526
83,"Chicago, IL",42.85714285714286,blue,2002,0.20746931010230313
84,"Miami, FL",75.0,blue,2002,0.06267661093775805
85,"Dallas, TX",1100.0,blue,2002,0.034884173207594495
86,"Philadelphia, PA",-27.27272727272727,blue,2002,0.08868575515211026
87,"Houston, TX",342.8571428571429,blue,2002,0.3672104563911878
88,"Atlanta, GA",200.00000000000006,blue,2002,0.1912502988285919
89,"Phoenix, AZ",280.0,red,2002,0.14699220867797902
90,"Seattle, WA",50.00000000000002,blue,2002,0.1097765635270112
91,"San Francisco, CA",33.333333333333336,blue,2002,0.1664927280138722
92,"Detroit, MI",-10.000000000000012,blue,2002,0.2555216815825082
93,"San Diego, CA",9.090909090909092,blue,2002,0.18689760565477395
94,"Minneapolis, MN",-16.666666666666675,blue,2002,0.10250253095832691
