,date,city,black,white,latino
575,2005,"Abilene, TX",,1.0472629782064575,
762,2006,"Abilene, TX",,1.0472629782064575,
1713,2011,"Abilene, TX",6.920894179527995,1.5708944673096863,
1931,2012,"Abilene, TX",6.920894179527995,2.094525956412915,3.010053578953705
2418,2014,"Abilene, TX",6.920894179527995,1.0472629782064575,2.9299866373118033
3179,2017,"Abilene, TX",6.920894179527995,1.0472629782064575,2.849919695669901
3435,2018,"Abilene, TX",6.920894179527995,1.0472629782064575,2.7698527540279994
3677,2019,"Abilene, TX",6.920894179527995,1.0472629782064575,2.6897858123860976
3931,2020,"Abilene, TX",6.920894179527995,1.0472629782064575,2.609718870744196
279,2003,"Akron, OH",3.005214046370453,0.9106523572684402,2.5296519291022936
430,2004,"Akron, OH",2.2539105347778396,0.774041736330423,2.449584987460392
576,2005,"Akron, OH",1.5026070231852264,1.548083472660846,2.36951804581849
951,2007,"Akron, OH",1.5026070231852264,0.774041736330423,2.289451104176588
1145,2008,"Akron, OH",1.5026070231852264,0.774041736330423,2.209384162534686
1515,2010,"Akron, OH",2.2539105347778396,0.774041736330423,2.1293172208927844
1932,2012,"Akron, OH",3.005214046370453,0.774041736330423,2.0492502792508827
2157,2013,"Akron, OH",2.2539105347778396,0.774041736330423,1.9691833376089807
2419,2014,"Akron, OH",1.5026070231852264,1.5480834726608461,1.8891163959670787
2670,2015,"Akron, OH",1.5026070231852264,2.322125208991269,1.809049454325177
2921,2016,"Akron, OH",1.5026070231852264,1.9351043408260575,1.728982512683275
3180,2017,"Akron, OH",3.005214046370453,1.548083472660846,1.648915571041373
3436,2018,"Akron, OH",1.5026070231852264,0.774041736330423,1.5688486293994712
3932,2020,"Akron, OH",3.005214046370453,1.517424196072609,1.4887816877575692
1714,2011,"Alameda, CA",8.292395181794678,2.2608066558147946,1.4087147461156675
2158,2013,"Alameda, CA",13.579576317218901,2.2608066558147946,1.3286478044737655
3181,2017,"Alameda, CA",13.579576317218901,2.2608066558147946,1.2485808628318638
3437,2018,"Alameda, CA",7.7254169011244205,2.2608066558147946,1.1685139211899618
431,2004,"Albany, GA",1.8712574850299402,2.1512988334237653,1.0884469795480598
1325,2009,"Albany, GA",1.8712574850299402,2.0417910110327364,1.008380037906158
1516,2010,"Albany, GA",1.8712574850299402,1.9322831886417071,0.9283130962642563
2922,2016,"Albany, GA",1.8712574850299402,1.822775366250678,0.8482461546223541
280,2003,"Albany, NY",2.532919736988343,1.713267543859649,0.7681792129804523
1517,2010,"Albany, NY",3.194581988946746,1.713267543859649,0.6881122713385506
1715,2011,"Albany, NY",3.194581988946746,1.713267543859649,0.6080453296966488
2671,2015,"Albany, NY",3.194581988946746,1.713267543859649,0.5279783880547466
3438,2018,"Albany, NY",3.3296781814090215,1.713267543859649,0.44791144641284486
0,2000,"Albuquerque, NM",3.464774373871297,0.9780380798402863,0.3678445047709432
177,2002,"Albuquerque, NM",3.5998705663335717,0.2428086158209238,0.3678445047709432
281,2003,"Albuquerque, NM",3.734966758795847,0.2428086158209238,0.3678445047709432
763,2006,"Albuquerque, NM",3.734966758795847,0.2428086158209238,0.49045933969459093
952,2007,"Albuquerque, NM",3.734966758795847,0.2428086158209238,0.6130741746182387
1326,2009,"Albuquerque, NM",3.734966758795847,0.7284258474627713,0.7356890095418864
1518,2010,"Albuquerque, NM",3.734966758795847,1.2140430791046188,1.1035335143128298
1716,2011,"Albuquerque, NM",4.979955678394463,0.2428086158209238,1.839222523854716
1933,2012,"Albuquerque, NM",6.224944597993078,0.7284258474627714,0.3678445047709432
2159,2013,"Albuquerque, NM",7.469933517591694,1.2140430791046188,0.7356890095418864
2420,2014,"Albuquerque, NM",3.734966758795847,0.9712344632836952,1.4713780190837729
2672,2015,"Albuquerque, NM",3.734966758795847,0.4856172316418476,1.839222523854716
2923,2016,"Albuquerque, NM",3.734966758795847,0.7284258474627714,1.839222523854716
3182,2017,"Albuquerque, NM",3.734966758795847,1.9424689265673905,2.5749115333966026
3439,2018,"Albuquerque, NM",3.473846679083971,0.4856172316418476,3.3106005429384893
3678,2019,"Albuquerque, NM",3.212726599372095,0.7284258474627714,1.4713780190837729
3933,2020,"Albuquerque, NM",2.951606519660219,0.4856172316418476,1.839222523854716
432,2004,"Alexandria, VA",2.6904864399483426,0.713551919497429,2.06935049040565
577,2005,"Alexandria, VA",2.6904864399483426,0.9414866073530104,2.2994784569565843
764,2006,"Alexandria, VA",2.6904864399483426,0.9414866073530104,2.529606423507518
953,2007,"Alexandria, VA",2.6904864399483426,0.9414866073530104,2.7597343900584526
1146,2008,"Alexandria, VA",3.3631080499354282,0.9414866073530104,2.9898623566093865
1327,2009,"Alexandria, VA",4.035729659922514,0.9414866073530104,3.219990323160321
1934,2012,"Alexandria, VA",4.708351269909599,0.9414866073530104,3.450118289711255
2160,2013,"Alexandria, VA",5.380972879896685,0.9414866073530104,3.6802462562621887
2924,2016,"Alexandria, VA",5.6596450294225376,0.9414866073530104,3.910374222813123
3183,2017,"Alexandria, VA",5.938317178948389,0.9414866073530104,3.548254083942087
433,2004,"Alhambra, CA",6.2169893284742415,2.8733188646778984,3.1861339450710506
1717,2011,"Alhambra, CA",6.495661478000093,4.805151122002787,3.1861339450710506
3184,2017,"Alhambra, CA",6.774333627525945,3.680715486451648,3.1861339450710506
578,2005,"Allen, TX",7.053005777051798,2.556279850900509,9.420631182289213
2925,2016,"Allen, TX",7.331677926577649,1.43184421534937,6.7901671384089415
3185,2017,"Allen, TX",7.610350076103502,1.7199050521499426,4.159703094528669
178,2002,"Amarillo, TX",7.555582036805327,2.0079658889505154,1.5292390506483973
282,2003,"Amarillo, TX",7.500813997507152,2.296026725751088,1.5292390506483973
579,2005,"Amarillo, TX",7.446045958208977,1.722020044313316,1.5292390506483973
954,2007,"Amarillo, TX",7.391277918910802,1.148013362875544,1.5292390506483973
1147,2008,"Amarillo, TX",7.336509879612628,0.861010022156658,1.5292390506483973
1519,2010,"Amarillo, TX",7.281741840314453,0.574006681437772,1.5292390506483973
1718,2011,"Amarillo, TX",7.226973801016278,1.7220200443133158,1.5292390506483973
1935,2012,"Amarillo, TX",7.172205761718103,1.148013362875544,1.5292390506483973
2161,2013,"Amarillo, TX",7.117437722419928,0.574006681437772,1.5292390506483973
2421,2014,"Amarillo, TX",9.489916963226571,1.148013362875544,4.587717151945192
2673,2015,"Amarillo, TX",11.862396204033214,0.574006681437772,1.5292390506483973
2926,2016,"Amarillo, TX",14.234875444839856,0.574006681437772,1.5292390506483973
3186,2017,"Amarillo, TX",13.789909176316872,0.574006681437772,1.5292390506483973
3440,2018,"Amarillo, TX",13.344942907793886,0.574006681437772,3.0584781012967945
3679,2019,"Amarillo, TX",12.899976639270902,0.574006681437772,2.293858575972596
3934,2020,"Amarillo, TX",12.455010370747917,1.1773642930489605,1.5292390506483973
2162,2013,"Ames, IA",12.010044102224931,1.7807219046601492,1.3501920137351409
283,2003,"Anaheim, CA",11.565077833701947,0.3848818412747287,1.1711449768218842
580,2005,"Anaheim, CA",11.120111565178963,0.3848818412747287,0.9920979399086278
955,2007,"Anaheim, CA",10.675145296655977,0.3848818412747287,0.7440734549314709
1148,2008,"Anaheim, CA",10.230179028132993,0.3848818412747287,0.4960489699543139
1328,2009,"Anaheim, CA",10.230179028132993,0.3848818412747287,1.4881469098629416
1520,2010,"Anaheim, CA",10.230179028132993,0.3848818412747287,1.2401224248857847
1719,2011,"Anaheim, CA",10.230179028132993,0.3848818412747287,0.9920979399086278
1936,2012,"Anaheim, CA",10.230179028132993,0.3848818412747287,1.9841958798172556
2422,2014,"Anaheim, CA",10.230179028132993,1.5395273650989147,1.2401224248857847
2674,2015,"Anaheim, CA",20.460358056265985,1.154645523824186,0.4960489699543139
2927,2016,"Anaheim, CA",10.230179028132993,0.7697636825494573,1.9841958798172556
3441,2018,"Anaheim, CA",10.230179028132993,0.3848818412747287,0.4960489699543139
3680,2019,"Anaheim, CA",10.230179028132993,0.3848818412747287,0.4960489699543139
3935,2020,"Anaheim, CA",8.754557497827577,0.42751821405143886,0.4960489699543139
89,2001,"Anchorage, AK",7.278935967522159,0.4701545868281491,1.1304879782817814
765,2006,"Anchorage, AK",5.803314437216742,0.4701545868281491,1.7649269866092485
1521,2010,"Anchorage, AK",4.3276929069113255,0.4701545868281491,2.399365994936716
2163,2013,"Anchorage, AK",4.3276929069113255,0.9403091736562982,3.0338050032641832
2675,2015,"Anchorage, AK",4.3276929069113255,1.1753864670703726,3.668244011591651
2928,2016,"Anchorage, AK",4.3276929069113255,1.4104637604844472,3.912691324162884
3187,2017,"Anchorage, AK",4.3276929069113255,0.4701545868281491,4.157138636734118
3681,2019,"Anchorage, AK",4.3276929069113255,0.4701545868281491,4.401585949305351
3936,2020,"Anchorage, AK",7.384688053121529,0.4701545868281491,4.646033261876584
2423,2014,"Ann Arbor, MI",10.441683199331733,2.19007328567229,4.890480574447817
581,2005,"Antioch, CA",7.373508754270421,3.9099919845164317,5.13492788701905
766,2006,"Antioch, CA",4.30533430920911,3.2583266537636932,5.379375199590283
1937,2012,"Antioch, CA",4.30533430920911,2.6066613230109548,5.623822512161516
2164,2013,"Antioch, CA",4.30533430920911,1.9549959922582159,4.217866884121137
2676,2015,"Antioch, CA",8.61066861841822,1.9549959922582159,2.811911256080758
2929,2016,"Antioch, CA",4.30533430920911,1.9549959922582159,3.7492150081076776
3188,2017,"Antioch, CA",4.30533430920911,1.9549959922582159,4.686518760134597
3442,2018,"Antioch, CA",7.436084456278547,1.9549959922582159,5.623822512161516
1149,2008,"Apple Valley, CA",10.566834603347983,1.8518740046577364,3.856834310398025
1329,2009,"Apple Valley, CA",13.69758475041742,1.748752017057257,3.856834310398025
2424,2014,"Apple Valley, CA",16.828334897486855,1.6456300294567776,3.856834310398025
2677,2015,"Apple Valley, CA",19.959085044556293,1.6456300294567776,3.856834310398025
