,City,State,Population,All Law Enforcement Employees,Total Officers,Employees / 10K Pop.,Officers / 10K Pop.
0,New York,New York,8336002,50068,34817,60.1,41.8
1,Los Angeles,California,3841707,12754,9858,33.2,25.7
2,Chicago,Illinois,2833649,13318,12515,47.0,44.2
3,Houston,Texas,2280859,7054,5351,30.9,23.5
4,Philadelphia,Pennsylvania,1558378,7532,6734,48.3,43.2
5,Phoenix,Arizona,1544427,4198,3146,27.2,20.4
6,Las Vegas Metro Police,Nevada,1416401,5130,2696,36.2,19.0
7,San Antonio,Texas,1392198,2949,2303,21.2,16.5
8,San Diego,California,1313433,2516,1863,19.2,14.2
9,Dallas,Texas,1306775,4241,3666,32.5,28.1
10,San Jose,California,970252,1624,1259,16.7,13.0
11,Honolulu,Hawaii,950268,2554,2066,26.9,21.7
12,Detroit,Michigan,899447,3210,2890,35.7,32.1
13,Indianapolis,Indiana,825072,1913,1648,23.2,20.0
14,Jacksonville,Florida,822414,3310,1751,40.2,21.3
15,San Francisco,California,818594,2629,2250,32.1,27.5
16,Charlotte-Mecklenburg,North Carolina,797733,2187,1696,27.4,21.3
17,Austin,Texas,796310,2141,1605,26.9,20.2
18,Fort Worth,Texas,746433,1918,1505,25.7,20.2
19,Memphis,Tennessee,673650,2775,2335,41.2,34.7
20,Boston,Massachusetts,644064,2680,2094,41.6,32.5
21,Baltimore,Maryland,639929,3503,2960,54.7,46.3
22,Louisville Metro,Kentucky,637428,1379,1211,21.6,19.0
23,El Paso,Texas,624322,1279,1078,20.5,17.3
24,Seattle,Washington,620195,1861,1344,30.0,21.7
25,Nashville,Tennessee,616366,1584,1289,25.7,20.9
26,Denver,Colorado,607051,1705,1470,28.1,24.2
27,Milwaukee,Wisconsin,605921,2663,1936,43.9,32.0
28,Washington,District Of Columbia,601723,4477,3945,74.4,65.6
29,Oklahoma City,Oklahoma,571865,1254,1015,21.9,17.7
30,Portland,Oregon,564392,1186,957,21.0,17.0
31,Albuquerque,New Mexico,545389,1441,1055,26.4,19.3
32,Atlanta,Georgia,536472,1973,1612,36.8,30.0
33,Tucson,Arizona,527107,1295,974,24.6,18.5
34,Fresno,California,484734,1007,793,20.8,16.4
35,Kansas City,Missouri,483191,1993,1404,41.2,29.1
36,Sacramento,California,472469,1019,696,21.6,14.7
37,Omaha,Nebraska,464628,918,789,19.8,17.0
38,Long Beach,California,462267,1252,889,27.1,19.2
39,Mesa,Arizona,452725,1186,776,26.2,17.1
40,Miami,Florida,440482,1453,1098,33.0,24.9
41,Virginia Beach,Virginia,435873,938,775,21.5,17.8
42,Cleveland,Ohio,426042,1805,1559,42.4,36.6
43,Raleigh,North Carolina,419700,883,770,21.0,18.3
