,Police Department,Officers per 10K Population,Officers,Total Employees per 10K Population,Total Employees
0,"New York, New York",42.3,36228,60.0,51399
1,"Los Angeles, California",24.6,9850,31.7,12692
2,"Chicago, Illinois",43.9,11954,48.2,13135
3,"Houston, Texas",22.2,5182,28.4,6632
4,"Las Vegas Metropolitan Police, Nevada",20.9,3326,30.5,4855
5,"Phoenix, Arizona",17.4,2762,23.4,3706
6,"Philadelphia, Pennsylvania",40.2,6313,50.9,7995
7,"San Antonio, Texas",14.4,2152,18.8,2819
8,"San Diego, California",12.8,1815,17.8,2522
9,"Dallas, Texas",24.8,3279,29.0,3829
10,"San Jose, California",9.0,939,13.0,1352
11,"Honolulu, Hawaii",20.5,2042,25.5,2537
12,"Austin, Texas",18.9,1807,24.7,2361
13,"Charlotte-Mecklenburg, North Carolina",19.4,1743,25.7,2302
14,"Jacksonville, Florida",20.0,1758,33.5,2947
15,"San Francisco, California",26.4,2296,33.2,2892
16,"Indianapolis, Indiana",18.6,1612,20.8,1806
17,"Fort Worth, Texas",18.4,1566,23.6,2007
18,"Seattle, Washington",19.8,1384,27.8,1946
19,"Denver, Colorado",21.2,1483,25.7,1799
20,"El Paso, Texas",14.7,1013,18.0,1236
21,Metropolitan Police Department of the District of Columbia,55.1,3753,63.9,4352
22,"Boston, Massachusetts",31.5,2125,39.7,2678
23,"Detroit, Michigan",35.1,2350,42.6,2855
24,"Nashville Metropolitan, Tennessee",20.9,1398,25.5,1708
25,"Memphis, Tennessee",30.1,1978,36.3,2385
26,"Portland, Oregon",14.1,908,17.9,1150
27,"Oklahoma City, Oklahoma",17.3,1113,21.5,1381
28,"Baltimore, Maryland",40.6,2512,47.0,2908
29,"Milwaukee, Wisconsin",31.5,1889,38.8,2328
30,"Tucson, Arizona",16.3,870,21.9,1168
31,"Fresno, California",14.3,748,19.3,1013
32,"Sacramento, California",13.2,652,19.3,954
33,"Kansas City, Missouri",28.3,1356,39.2,1875
34,"Mesa, Arizona",16.8,804,25.5,1221
35,"Long Beach, California",16.9,806,24.6,1173
36,"Atlanta, Georgia",35.8,1694,45.3,2140
37,"Colorado Springs, Colorado",13.9,645,19.9,924
38,"Raleigh, North Carolina",15.8,729,19.0,875
39,"Virginia Beach, Virginia",17.2,779,21.0,951
40,"Miami, Florida",26.7,1201,34.7,1559
41,"Omaha, Nebraska",17.9,798,20.8,926
42,"Oakland, California",17.6,750,24.6,1046
43,"Minneapolis, Minnesota",20.3,847,24.4,1018
44,"Tulsa, Oklahoma",18.4,747,22.5,912
45,"New Orleans, Louisiana",29.5,1171,35.3,1403
46,"Wichita, Kansas",15.6,612,20.3,794
47,"Cleveland, Ohio",37.4,1444,43.4,1678
48,"Bakersfield, California",10.3,390,14.0,530
49,"Tampa, Florida",25.3,951,32.2,1212
50,"Aurora, Colorado",18.3,670,22.1,810
51,"Anaheim, California",11.5,408,15.9,562
52,"Santa Ana, California",9.2,310,15.5,523
53,"Corpus Christi, Texas",13.5,444,19.1,625
54,"Riverside, California",10.7,350,15.4,503
55,"St. Louis, Missouri",38.0,1194,51.9,1632
56,"Stockton, California",13.4,412,19.8,610
57,"St. Paul, Minnesota",20.6,627,26.2,796
58,"Pittsburgh, Pennsylvania",30.0,908,32.3,976
59,"Anchorage, Alaska",11.9,356,16.6,497
60,"Cincinnati, Ohio",35.2,1051,43.2,1292
